13.099999999976717,-13,7
13.400000000023283,-9,5
19.599999999976717,-13,7
13.5,-9,5
19.900000000023283,-13,8
13.900000000023283,-6,5
19.79999999993015,-9,8
13.70000000006985,-4,4
19.599999999976717,-8,6
13.5,-6,5
13.599999999976717,-7,4
20.900000000023283,-9,6
12.699999999953434,-4,3
20.20000000006985,-5,4
19.79999999993015,-4,4
13.599999999976717,-3,3
19.70000000006985,-6,5
13.29999999993015,-5,5
13.600000000093132,-4,4
20.79999999993015,-6,5
12.900000000023283,-2,2
20.900000000023283,-2,2
13.29999999993015,-1,1
21.20000000006985,-1,2
13.900000000023283,-1,1
14.29999999993015,0,1
15.20000000006985,-1,1
15.79999999993015,0,2
