12.700000047683716,-2,8
17,-3,10
15,-2,7
18.09999990463257,-6,8
16.90000009536743,-12,14
16,-16,22
17,-19,23
17,-14,15
16.09999990463257,-12,9
16.90000009536743,-13,9
17,-12,8
16,-11,5
15,-9,3
19,-6,3
12.099999904632568,-2,1
21,-2,2
11.900000095367432,-2,1
15.099999904632568,-1,1
131.10000014305115,0,-1
8.899999856948853,0,-2
14,0,-3
14.900000095367432,0,-3
17.09999990463257,0,-3
20,0,-4
12.900000095367432,0,-2
18,-1,-2
5.200000047683716,0,-1
16.09999990463257,0,-1
24.700000047683716,-1,-2
16.09999990463257,0,-1
67,0,-1
115.10000014305115,0,-1
