13.899999998509884,-13,2
17.100000001490116,-16,3
15.899999998509884,-14,4
15,-13,3
17.899999998509884,-14,5
16,-12,4
17,-13,4
17,-14,5
17.100000001490116,-15,4
18.30000000447035,-16,5
13.699999995529652,-12,4
17.899999998509884,-14,5
17.100000001490116,-12,5
17.600000001490116,-12,6
15.399999998509884,-11,4
17.100000001490116,-11,6
15.899999998509884,-9,4
17,-10,5
17,-9,5
14.899999998509884,-6,4
18.100000001490116,-7,5
16.100000001490116,-7,4
16.899999998509884,-6,5
16,-7,5
17,-6,5
16.200000002980232,-4,2
12.799999997019768,-2,1
