2.5999999046325684,-1,1
14.100000143051147,-3,5
18,-4,5
16,-3,4
18.09999990463257,-2,4
10,-2,2
23.799999952316284,-2,3
16.40000009536743,-2,3
13.700000047683716,-1,2
15,-3,3
17,-2,3
19.199999809265137,-2,3
12.800000190734863,-1,2
20.09999990463257,-3,4
17.90000009536743,-2,4
16.199999809265137,-3,3
16,-1,3
17.800000190734863,-2,3
14,-2,3
15.099999904632568,-1,3
20.90000009536743,-2,3
11.099999904632568,-1,2
20,0,3
16.90000009536743,-1,2
18.09999990463257,-2,3
16,-1,3
14,-1,2
16,-2,3
16,-1,3
18,-1,3
16,-1,3
20,-2,3
13.900000095367432,-1,2
19.09999990463257,0,3
14,-1,1
17.09999990463257,0,1
19.800000190734863,-1,1
3.0999999046325684,0,1
16.09999990463257,0,1
47,0,1
21,0,1
26,0,1
41.90000009536743,0,1
